job_id,title,company,location,zip_code,state,source,ats,department,is_remote,job_url,job_types,tags,salary,published_at,start_date_raw,modified_at,ingested_at,is_english,work_style,language_requirement,region,date_added,date_expired
sem_distart-education_full-stack-code-quality-architect_leipzig,Full Stack & Code Quality Architect (m/w/d),Distart Education GmbH,Leipzig,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/distart-education-gmbh/full-stack-code-quality-architect-leipzig-311307,"Full-time permanent,mid","Cloud / DevOps,Education and training,associate's degree",,,,,2026-07-06T07:00:07.313495+00:00,True,onsite,bilingual,Germany,2026-07-06,2026-07-06
sem_distart-education_fullstack-ai-reviewer_leipzig,(Senior) Fullstack AI Reviewer (m/w/d),Distart Education GmbH,Leipzig,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/distart-education-gmbh/senior-fullstack-ai-reviewer-leipzig-160984,"Full-time permanent,mid","Cloud / DevOps,Education and training,associate's degree",,,,,2026-07-06T07:00:07.313495+00:00,False,onsite,german_required,Germany,2026-07-06,2026-07-06
sem_domus-consult-wirtschaftsberatungsgesellschaft-mbh_berater-f-r-informationssicherheit-w-m-d_berlin,Berater für Informationssicherheit (w|m|d),DOMUS Consult Wirtschaftsberatungsgesellschaft mbH,Berlin,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/domus-consult-wirtschaftsberatungsgesellschaft-mbh/berater-fur-informationssicherheit-wmd-berlin-368835,"Full-time permanent,mid","Information technology,vocational",,,,,2026-07-06T07:00:07.313495+00:00,False,hybrid,german_required,Germany,2026-07-06,2026-07-06
sem_dr-gerwerk-kgaa_it-devops-engineer_l-beck,IT DevOps Engineer (m/w/d),Drägerwerk AG & Co. KGaA,Lübeck,23558.0,Schleswig-Holstein,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/14931-1585337-1-S,,Cloud / DevOps,,,2026-06-27,2026-06-26T16:02:04.889,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_dr-kurt-wolff-kg_security-devops-engineer_bielefeld,Security DevOps Engineer (m/w/d),Dr. Kurt Wolff GmbH & Co. KG,Bielefeld,33611.0,Nordrhein-Westfalen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/12288-4868789607-S,,Cloud / DevOps,,,2026-07-01,2026-07-01T07:08:33.086,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_e-on-energie-dialog_mediendesigner-schwerpunkt-digitale-medien_potsdam,Mediendesigner (m/w/d) - Schwerpunkt digitale Medien,E.ON Energie Dialog GmbH,Potsdam,14482.0,Brandenburg,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/12728-o_451-1-S,,,,,2026-06-30,2026-06-30T11:08:35.167,2026-07-06T07:01:03.142629+00:00,False,onsite,german_required,Germany,2026-07-06,2026-07-06
sem_easybill_senior-software-engineer-php-typescript-node-js-m-w-d_willich,"Senior Software Engineer (PHP, TypeScript, Node.js) m/w/d",easybill GmbH,Willich,,,arbeitnow,,,True,https://www.arbeitnow.com/jobs/companies/easybill-gmbh/senior-software-engineer-php-typescript-nodejs-willich-389625,,"Remote,Software Development",,,,,2026-07-06T07:00:07.313495+00:00,True,remote,bilingual,Unspecified,2026-07-06,2026-07-06
sem_elara-leitstellentechnik_auszubildender-gesucht-fachinformatiker-systemintegration-im-public-safety-bereich_aachen,Auszubildender gesucht: Fachinformatiker-Systemintegration im Public Safety Bereich,ELARA Leitstellentechnik GmbH,Aachen,52070.0,Nordrhein-Westfalen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002786584-S,,,,,2026-08-01,2026-03-18T13:06:41.315,2026-07-06T07:01:03.142629+00:00,False,onsite,german_required,Germany,2026-07-06,2026-07-06
sem_emil-group_werkstudent-customer-delivery-w-m-d-x_berlin,Werkstudent Customer Delivery (w/m/d/x),EMIL Group GmbH,Berlin,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/emil-group-gmbh/werkstudent-customer-delivery-x-berlin-204708,"Internship,hilfstätigkeit / student","Working Student,Internship,IT",,,,,2026-07-06T07:00:07.313495+00:00,False,onsite,german_required,Germany,2026-07-06,2026-07-06
sem_epilot_werkstudent-in-marketing-events-campaigns-digital-content_k-ln,"Werkstudent:in Marketing – Events, Campaigns & Digital Content (m/w/d)",epilot GmbH,Köln,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/epilot-gmbh/werkstudentin-marketing-events-campaigns-digital-content-koln-305873,"Part-time permanent,student (college)","Analytics / BI,Working Student,Internship,Internet and software,high school or equivalent",,,,,2026-07-06T07:00:07.313495+00:00,False,onsite,german_required,Germany,2026-07-06,2026-07-06
